epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1448.83,1.89386,1.2503,1.62736,0.8115,0.61404,0.68302,0.25862,2.23647,1.7236,2.02271,0.008065,0.008065,0.008065
45,1478.58,1.90089,1.23113,1.59608,0.67178,0.65497,0.65746,0.24516,2.29056,1.55631,2.07701,0.00802,0.00802,0.00802
46,1508.16,1.91744,1.24433,1.62375,0.80417,0.70175,0.72263,0.30339,2.25489,1.48023,2.09128,0.007975,0.007975,0.007975
47,1538,1.89331,1.18451,1.57833,0.84022,0.70732,0.74272,0.29749,2.33005,1.37605,2.11951,0.00793,0.00793,0.00793
48,1568.34,1.89495,1.20837,1.60793,0.74211,0.67251,0.67952,0.28178,2.31007,1.44441,2.11958,0.007885,0.007885,0.007885
49,1598.11,1.90125,1.1885,1.59416,0.76452,0.66453,0.67594,0.26989,2.3304,1.58417,2.16219,0.00784,0.00784,0.00784
50,1628.06,1.91425,1.21081,1.62827,0.75126,0.65352,0.69578,0.27495,2.16756,1.52421,1.97315,0.007795,0.007795,0.007795
51,1658.36,1.92093,1.22112,1.60428,0.71062,0.63158,0.63211,0.2774,2.24136,1.56595,2.0211,0.00775,0.00775,0.00775
52,1688.65,1.89699,1.17908,1.60172,0.78491,0.61889,0.6546,0.29006,2.22685,1.62162,2.05064,0.007705,0.007705,0.007705
53,1718.78,1.86624,1.16195,1.60199,0.85891,0.64327,0.73536,0.28563,2.28769,1.5754,2.08561,0.00766,0.00766,0.00766
54,1749.47,1.89981,1.17283,1.61207,0.79888,0.63743,0.70683,0.29089,2.31526,1.48314,2.11925,0.007615,0.007615,0.007615
55,1780.47,1.90751,1.17439,1.59335,0.83203,0.62573,0.72606,0.29086,2.24488,1.64883,2.01366,0.00757,0.00757,0.00757
56,1811.08,1.89138,1.17684,1.5896,0.81498,0.66974,0.6892,0.29579,2.28637,1.43061,2.10211,0.007525,0.007525,0.007525
57,1841.76,1.87885,1.16982,1.60396,0.75798,0.61988,0.64878,0.2776,2.36536,1.68368,2.16299,0.00748,0.00748,0.00748
58,1871.76,1.86784,1.16837,1.58255,0.84557,0.59649,0.69385,0.31542,2.1304,1.54057,1.97234,0.007435,0.007435,0.007435
59,1901.49,1.8816,1.14773,1.61032,0.7126,0.65497,0.65081,0.25538,2.19275,1.619,2.0037,0.00739,0.00739,0.00739
60,1931.12,1.89351,1.18601,1.62765,0.75635,0.63158,0.70309,0.28338,2.14872,1.64631,1.98416,0.007345,0.007345,0.007345
61,1961.05,1.85574,1.12445,1.58411,0.77114,0.7193,0.75235,0.28684,2.42336,1.46216,2.21421,0.0073,0.0073,0.0073
62,1990.88,1.86197,1.13102,1.58467,0.71482,0.62573,0.65193,0.28354,2.24248,1.60463,2.04884,0.007255,0.007255,0.007255
63,2021.12,1.8582,1.13864,1.58452,0.68821,0.66082,0.67587,0.27403,2.25059,1.44784,2.07286,0.00721,0.00721,0.00721
64,2050.67,1.86922,1.13218,1.57966,0.78507,0.69591,0.70721,0.29383,2.28328,1.70928,2.06652,0.007165,0.007165,0.007165
65,2080.16,1.85766,1.14257,1.59254,0.70563,0.69006,0.69899,0.28506,2.36548,1.68552,2.14154,0.00712,0.00712,0.00712
66,2110.47,1.85462,1.13071,1.56173,0.81541,0.56832,0.64039,0.29035,2.22777,1.70031,2.04124,0.007075,0.007075,0.007075
67,2140.63,1.84514,1.10079,1.56805,0.84556,0.66082,0.72399,0.30192,2.27566,1.44897,2.07535,0.00703,0.00703,0.00703
68,2171.56,1.82083,1.09625,1.56835,0.81958,0.64912,0.71549,0.28935,2.27439,1.52101,2.08018,0.006985,0.006985,0.006985
69,2202.31,1.82312,1.0957,1.5439,0.79397,0.69006,0.73769,0.30084,2.25936,1.37937,2.0771,0.00694,0.00694,0.00694
70,2233.07,1.85871,1.10719,1.58651,0.80363,0.69405,0.72428,0.31339,2.24354,1.30934,2.05614,0.006895,0.006895,0.006895
71,2263.91,1.82387,1.08933,1.54098,0.83571,0.65446,0.72207,0.29512,2.2066,1.49539,2.02465,0.00685,0.00685,0.00685
