epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1921.32,2.03022,1.44634,1.69926,0.72505,0.66311,0.69687,0.2696,2.20248,1.616,2.00452,0.008065,0.008065,0.008065
45,1963.5,2.04736,1.39662,1.6625,0.66303,0.66082,0.65842,0.25953,2.28136,1.71966,2.03699,0.00802,0.00802,0.00802
46,2005.37,2.02249,1.41943,1.67079,0.81383,0.68421,0.71335,0.27756,2.2132,1.46556,2.00619,0.007975,0.007975,0.007975
47,2046.91,2.00045,1.34797,1.63051,0.80601,0.61404,0.66623,0.26013,2.27183,1.63717,2.06044,0.00793,0.00793,0.00793
48,2089.64,2.03043,1.36661,1.6641,0.76995,0.58718,0.64125,0.22711,2.32012,1.64454,2.07546,0.007885,0.007885,0.007885
49,2133.22,2.02285,1.37789,1.65801,0.75406,0.69591,0.69054,0.25802,2.21581,1.54608,2.00795,0.00784,0.00784,0.00784
50,2176.03,2.04039,1.36658,1.68524,0.84017,0.67836,0.72288,0.28808,2.20623,1.51689,2.02048,0.007795,0.007795,0.007795
51,2218.93,2.0612,1.35228,1.67397,0.78625,0.7076,0.70226,0.24722,2.38277,1.56808,2.10785,0.00775,0.00775,0.00775
52,2261.49,2.01211,1.33563,1.65468,0.77705,0.61148,0.70194,0.25716,2.29093,1.61626,2.06431,0.007705,0.007705,0.007705
53,2304.29,1.98869,1.3069,1.66248,0.82657,0.71345,0.7373,0.30925,2.1481,1.43623,1.97404,0.00766,0.00766,0.00766
54,2346.85,2.02019,1.33128,1.67071,0.75286,0.64327,0.68292,0.2682,2.18595,1.62699,1.97136,0.007615,0.007615,0.007615
55,2389.13,2.01094,1.34065,1.64296,0.86323,0.68421,0.69573,0.28608,2.27597,1.46988,2.05822,0.00757,0.00757,0.00757
56,2431.82,2.00014,1.29625,1.63471,0.81835,0.73099,0.74962,0.30486,2.17154,1.44501,1.97449,0.007525,0.007525,0.007525
57,2474.08,1.9696,1.28375,1.63938,0.83117,0.66219,0.71015,0.28207,2.22019,1.50606,1.98399,0.00748,0.00748,0.00748
58,2516.03,1.9914,1.30482,1.64358,0.71734,0.66667,0.67392,0.28962,2.18595,1.53271,2.00408,0.007435,0.007435,0.007435
59,2559.88,2.00892,1.26836,1.65755,0.78689,0.71345,0.71796,0.30673,2.19266,1.55355,1.98691,0.00739,0.00739,0.00739
60,2603.15,1.9793,1.2941,1.67356,0.85884,0.65497,0.74656,0.31273,2.18359,1.42632,1.98415,0.007345,0.007345,0.007345
61,2646.45,1.98601,1.24424,1.63925,0.83146,0.72123,0.73371,0.29569,2.2644,1.52924,2.04182,0.0073,0.0073,0.0073
62,2689.26,1.97115,1.2516,1.63221,0.89449,0.67836,0.75191,0.28931,2.20265,1.48848,1.9841,0.007255,0.007255,0.007255
63,2731.09,1.96341,1.25016,1.63625,0.66406,0.67251,0.66176,0.26523,2.28163,1.55837,2.10201,0.00721,0.00721,0.00721
64,2773.26,1.94898,1.2241,1.61702,0.85203,0.67346,0.73299,0.28453,2.19767,1.51513,2.02261,0.007165,0.007165,0.007165
65,2815.36,1.95,1.2232,1.6419,0.78911,0.7221,0.72452,0.28666,2.18132,1.48839,1.99161,0.00712,0.00712,0.00712
66,2859.43,1.9655,1.23369,1.6216,0.84554,0.73631,0.76956,0.32912,2.13601,1.37412,1.94226,0.007075,0.007075,0.007075
67,2901.51,1.96789,1.23255,1.62077,0.81099,0.67251,0.70561,0.28076,2.20519,1.54185,2.00444,0.00703,0.00703,0.00703
68,2944.15,1.97121,1.22693,1.64286,0.84925,0.7193,0.75718,0.30242,2.21087,1.42794,1.99379,0.006985,0.006985,0.006985
69,2984.74,1.94099,1.17442,1.60062,0.84351,0.66197,0.75011,0.30821,2.15725,1.42262,1.94517,0.00694,0.00694,0.00694
70,3027.71,1.96332,1.19519,1.64502,0.80525,0.69006,0.7372,0.30048,2.1443,1.45485,1.95839,0.006895,0.006895,0.006895
71,3070.9,1.94411,1.18657,1.59898,0.82634,0.66785,0.72219,0.31754,2.08385,1.58285,1.9043,0.00685,0.00685,0.00685
72,3113.78,1.9541,1.18721,1.61604,0.83892,0.67836,0.75687,0.31591,2.1609,1.46601,1.98322,0.006805,0.006805,0.006805
73,3156.14,1.9109,1.16385,1.60755,0.90927,0.66082,0.75394,0.29918,2.21214,1.38606,2.00508,0.00676,0.00676,0.00676
74,3198.33,1.94157,1.17706,1.59485,0.79129,0.73166,0.73403,0.32071,2.15366,1.38269,1.97733,0.006715,0.006715,0.006715
75,3241.02,1.93431,1.17377,1.59629,0.88365,0.66623,0.72968,0.30753,2.12838,1.4616,1.96419,0.00667,0.00667,0.00667
76,3283.24,1.94,1.15023,1.60545,0.88352,0.70974,0.76579,0.32456,2.16543,1.33202,1.96925,0.006625,0.006625,0.006625
77,3325.28,1.93146,1.16752,1.61484,0.82626,0.7231,0.74023,0.29896,2.17953,1.41699,1.97221,0.00658,0.00658,0.00658
78,3367.35,1.96929,1.18868,1.62783,0.80357,0.69591,0.70657,0.2895,2.18329,1.40746,1.95743,0.006535,0.006535,0.006535
79,3409.89,1.92397,1.1601,1.60865,0.8617,0.74269,0.78535,0.29815,2.22739,1.32745,2.00182,0.00649,0.00649,0.00649
80,3452.48,1.91948,1.18599,1.62318,0.77735,0.74269,0.79197,0.32017,2.15908,1.27494,1.97029,0.006445,0.006445,0.006445
81,3495.28,1.91673,1.13532,1.57995,0.87824,0.73099,0.79053,0.32006,2.17827,1.39141,1.98716,0.0064,0.0064,0.0064
82,3539.09,1.90451,1.15136,1.59315,0.76198,0.71345,0.72064,0.28757,2.22796,1.43499,2.02157,0.006355,0.006355,0.006355
83,3583.12,1.94655,1.13973,1.5894,0.75464,0.73745,0.72953,0.2913,2.21549,1.4501,2.00905,0.00631,0.00631,0.00631
84,3626.18,1.90846,1.14302,1.58922,0.82325,0.7082,0.78258,0.34523,2.17774,1.33192,1.97098,0.006265,0.006265,0.006265
